id;created_date;description;status;classification;entry_channel
1;2023-07-10;Incredible Shoes;CLOSED;COMPLAINT;MESSANGER
2;2023-07-11;Loan toolset Philippines;CLOSED;ENQUIRY;MESSANGER
3;2023-07-11;viral;REJECTED;ENQUIRY;WHATSAPP
4;2023-07-11;compress SCSI;REJECTED;COMPLAINT;WHATSAPP
5;2023-07-10;Berkshire Dollar;NEW;COMPLAINT;MESSANGER
6;2023-07-10;Mali Chips calculate;NEW;COMPLAINT;WHATSAPP
7;2023-07-10;deliverables;REJECTED;COMPLAINT;WHATSAPP
8;2023-07-10;AGP;APPROVED;ENQUIRY;MESSANGER
9;2023-07-11;Identity synthesize;APPROVED;COMPLAINT;MESSANGER
10;2023-07-10;withdrawal;APPROVED;COMPLAINT;MESSANGER
