id;created_date;subject;comment
1;2023-07-10;Arkansas purple;visionary monitor
2;2023-07-11;Refined fault-tolerant 1080p;Operations Delaware South
3;2023-07-10;green Manager indigo;Hryvnia Plains bricks-and-clicks
4;2023-07-10;application morph;eyeballs Horizontal
5;2023-07-11;Garden;Consultant primary ADP
6;2023-07-10;Industrial Senior;Steel mindshare
7;2023-07-10;Chicken;Nepalese salmon
8;2023-07-11;bleeding-edge ivory Pants;recontextualize Operations
9;2023-07-11;Account;Keyboard intermediate Borders
10;2023-07-11;B2B;Inverse firewall one-to-one
